,Full_name,Drug_Type,Other_Details_summary
10,Aciloc RD 20 Tablet,Tablet,"Most common side effects are diarrhea, stomach pain, dryness in mouth, headache, and flatulence. 20 Tablet is a prescription medicine used to treat gastroesophageal reflux disease (Acid reflux) and peptic ulcer disease by relieving the symptoms such as heartburn, stomach pain, or irritation. Before taking this medicine, you should tell your doctor if you are pregnant, planning pregnancy or breastfeeding. Lifestyle modifications like having cold milk and avoiding hot tea, coffee, spicy food or chocolate can help you to get better results. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. It may also cause dizziness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. You should also tell your doctor if you have liver diseases so that your doctor can prescribe a suitable dose for you."
11, Scalp Solution,Solution,"Signs of this include rash, swelling of the lips, throat or face, swallowing, or breathing problems. The most common side effects of using this medicine include a burning sensation and irritation, dryness, peeling, or blistering of the skin. In the case of direct contact, wash your eyes with water and seek immediate medical attention. It works by killing the fungus that causes infections such as athlete’s foot, thrush and ringworm. If you have Athlete’s foot, wash your socks or tights thoroughly and change your shoes daily if possible. These are not usually serious, but you should call your doctor if you think you might have a severe allergic reaction. Do not use more than you need, it will not clear your condition faster and may only increase the side effects."
12,Atarax 25mg Tablet,Tablet,"The most common side effects of this medicine include sedation, nausea, vomiting, stomach upset and constipation.   Before taking this medicine, let your doctor know if you have heart problems or have high blood pressure, have liver or kidney problems. Tablet is an antihistamine used to treat symptoms of skin allergy like itching, swelling, and rashes. If these bother you or appear serious, let your doctor know. mg Tablet should be taken with or without food, but take it at the same time every day to get the most benefit.   In case, you have missed any doses than it is better to take the next dose as soon as you remember it. Inform your doctor if you are pregnant, or breastfeeding."
13,Altraday Capsule,Capsule,"The most common side effects of this medicine include nausea, flatulence, indigestion, diarrhea, and constipation. It may also be used to relieve muscle pain, back pain, toothache, or pain in the ear and throat. Let your doctor also know about all the other medicines you are taking because they may affect, or be affected by, this medicine. It is used to reduce pain and inflammation in conditions like rheumatoid arthritis, ankylosing spondylitis, and osteoarthritis. You should also avoid drinking alcohol while you are taking this medicine, as alcohol can cause excessive drowsiness. If any of these side effects bother you or get worse, you should speak to your doctor. Your doctor may be able to suggest ways of preventing or reducing the side effects."
14,Anovate Cream,Cream,"It relieves the pain, swelling, itching and discomfort associated with passing of stools in people who suffer this problem in the anal area. Before using the medicine check the label for directions of use and apply gently on the clean and dry affected area. There are no major side effects associated with this medicine but can cause application site burning or irritation. Anovate Cream is a combination medicine used for the treatment of piles (hemorrhoids). If accidental exposure occurs, rinse thoroughly with water. Do not use this medicine if you are allergic to it. It is for external use only."
15,S Syrup,Syrup,"The most common side effects are headache, palpitations, stomach upset, tremor, muscle cramp, and Increased heart rate. This medicine can also cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Before taking it, you should tell your doctor if you have any liver or kidney diseases so that your doctor can prescribe a suitable dose for you. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. Pregnant or breastfeeding women should consult their doctor before taking this medicine. You should keep taking this medicine for as long as your doctor recommends. Avoid drinking alcohol while taking this medicine as it can worsen your sleepiness."
16,M Tablet,Tablet,"The most common side effects are nausea, diarrhea, vomiting, skin rash, flu-like symptoms, and headache. Allegra-M Tablet is a combination medicine used in the treatment of allergy symptoms such as runny nose, stuffy nose, sneezing, watery eyes and congestion or stuffiness. This medicine may cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. Before you start taking this medicine it is important to inform your doctor if you are suffering from liver or kidney disease. You should keep taking this medicine for as long as your doctor recommends. You should also tell your doctor if you are pregnant, planning pregnancy or breastfeeding."
17,Ascoril D Plus Syrup,Syrup,"Before taking this medicine, you should tell your doctor if you are pregnant, planning pregnancy or breastfeeding. It relieves allergic symptoms such as sneezing, runny nose, watery eyes, and throat irritation. The most common side effects are nausea, vomiting, loss of appetite, and headache. This medicine can also cause sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. You should keep taking this medicine for as long as your doctor recommends. You should also tell your doctor if you have any kidney or liver diseases so that your doctor can prescribe a suitable dose for you."
18,Arkamin Tablet,Tablet,"Common side effects of this medicine include dizziness, headache, nausea, fatigue, dry mouth, and constipation. Most people with high blood pressure do not feel ill, but if you stop taking this medicine, your condition could get worse. Before taking this medicine, it is better to let your doctor know if you are suffering from any kidney or liver disease. Arkamin Tablet is a medicine used in the treatment of hypertension (high blood pressure). You should monitor your blood pressure regularly while taking this medicine. Also, pregnant women and breastfeeding mothers should consult a doctor before taking it. It lowers the blood pressure by relaxing the blood vessels."
19,Axcer  90mg Tablet,Tablet,"It helps to prevent serious heart-related problems like having another heart attack, stroke, or formation of blood clots in stents in such people. mg Tablet is also used to treat people with a recent heart attack or severe heart-related chest pain (unstable angina), who have undergone stenting of the heart. Some people may develop mild breathlessness after taking this medicine, however, this usually resolves on its own with continued treatment. If you stop taking this medicine, it may increase your chances of having another heart attack or stroke. Your doctor will also prescribe aspirin, another antiplatelet medicine, along with this medicine. This helps to prevent a heart attack or stroke in people with heart disease. If you cut or injure yourself, it may take longer than usual for the bleeding to stop."
20,Androanagen Solution,Solution,"It works by increasing blood flow to the hair follicles which further prevents hair loss and stimulates re-growth resulting in longer, thicker and increased numbers of hair. It may take several months before you notice any hair growth and the first growth may be soft, colorless and barely visible. Androanagen Solution should only be applied directly to the scalp area in the amount, and in the way, specified on the label or by your doctor. If you get it in your eyes, mouth or broken skin, rinse thoroughly with plenty of water. If your condition does not improve or worsens after using it for 4 to 6 months, tell your doctor. Using more than recommended will not speed up hair growth and may cause dangerous side effects. The most common are headache, itching or irritation of the scalp.  "
21,Acnestar Gel,Gel,"This is usually a safe medicine, however, it may cause dryness, peeling, redness, and burning sensation at the application site. If it gets into your eyes, nose, mouth, or vagina rinse with water. During the course of the treatment, do not touch, prick or scratch the infected skin areas as this may worsen or spread the acne. If you are a known allergic to the medicine, you must refrain from using this medicine and consult your doctor. This also helps to prevent pimples, blackheads, and whiteheads on the skin. It may take several days to weeks for your symptoms to improve, but you should keep using this medicine regularly. If your condition does not improve or gets worse, you should talk to your doctor."
22,DX Syrup,Syrup,"Before taking this medicine, you should tell your doctor if you are pregnant, planning pregnancy or breastfeeding. It relieves allergic symptoms such as sneezing, runny nose, watery eyes, and throat irritation. The most common side effects are nausea, vomiting, loss of appetite, and headache. This medicine can also cause sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. You should keep taking this medicine for as long as your doctor recommends. You should also tell your doctor if you have any kidney or liver diseases so that your doctor can prescribe a suitable dose for you."
23,Allegra 180mg Tablet,Tablet,"It is used to treat various allergic conditions such as hay fever, conjunctivitis and some skin reactions such as eczema, hives, and reactions to bites and stings. The most common side effects include headache, drowsiness, dizziness, and nausea. It relieves watery eyes, runny nose, sneezing, and itching. You may need this medicine only on days you have symptoms, or you may need to take it every day to prevent symptoms from happening. It usually does not impair your ability to drive, but you should not drive if it makes you feel sleepy or dizzy. If you stop taking it earlier than advised, your symptoms may come back. Pregnant or breastfeeding women should also consult with their doctor before taking it."
24,AT Tablet,Tablet,"It may cause side effects like headache, ankle swelling, slow heart rate, and nausea. You may be asked for regular monitoring of blood pressure, kidney function, and electrolytes level while on the treatment. You also need to tell your doctor what other medicines you are taking especially those used to treat high blood pressure or heart conditions. Even if you feel well, do not stop this medicine on your own because high blood pressure often has no symptoms. Keeping active with regular exercise, reducing your weight and eating a healthy diet will also help control your blood pressure. You can take Amlokind-AT Tablet at any time of day, on empty stomach, but it is best to take it at the same time each day. This might raise the level of potassium in the blood, hence avoid potassium rich food or supplements."
25,Ativan 2mg Tablet,Tablet,"Tablet relieves symptoms of anxiety such as nervousness, rapid breathing, increased heart rate, excessive sweating, trembling, weakness or lack of concentration. Tablet is a prescription medicine used to treat anxiety disorders such as generalized anxiety disorder (excessive worry or restlessness), obsessive compulsive disorder (OCD), panic attacks and social phobias. Before taking the medicine you should tell your doctor if you are pregnant, planning to become pregnant, or breastfeeding. Some common side effects of this medicine include weakness, sedation and balance disorder (loss of balance). It may also cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. However, take it at the same time each day as this helps to maintain a consistent level of medicine in the body. If you have missed any doses, take it as soon as you remember it and finish the full course of treatment even if you feel better."
26,Atarax 10mg Tablet,Tablet,"The most common side effects of this medicine include sedation, nausea, vomiting, stomach upset and constipation.   Before taking this medicine, let your doctor know if you have heart problems or have high blood pressure, have liver or kidney problems. Atarax 10mg Tablet is an antihistamine used to treat symptoms of skin allergy like itching, swelling, and rashes. If these bother you or appear serious, let your doctor know. mg Tablet should be taken with or without food, but take it at the same time every day to get the most benefit.   In case, you have missed any doses than it is better to take the next dose as soon as you remember it. Inform your doctor if you are pregnant, or breastfeeding."
27,Aptimust Syrup,Syrup,"Before taking it, you should tell your doctor if you have any kidney or liver diseases so that your doctor can prescribe a suitable dose for you. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. It can cause dizziness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. You should keep taking this medicine for as long as your doctor recommends. The most common side effects are constipation, dryness in mouth, and blurred vision. Avoid drinking alcohol while taking this medicine as it can worsen your sleepiness. The dose you are given will depend on your condition and how you respond to the medicine."
28,Alex Syrup,Syrup,"Before taking this medicine, you should tell your doctor if you are pregnant, planning pregnancy or breastfeeding. It relieves allergic symptoms such as sneezing, runny nose, watery eyes, and throat irritation. The most common side effects are nausea, vomiting, loss of appetite, and headache. This medicine can also cause sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. You should keep taking this medicine for as long as your doctor recommends. You should also tell your doctor if you have any kidney or liver diseases so that your doctor can prescribe a suitable dose for you."
29,Akt 4 Kit,Kit,"Some common side effects of this medicine are nausea, vomiting, fever, dark-colored urine, sweating, increased saliva, etc. If you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.), you must seek immediate medical help. While on the medication, your doctor may ask for a few laboratory and diagnostic tests to know the effects of the medicine on your body. Before taking this medicine, you should tell your doctor if you are taking any medicines for any health condition. However, it is advised to consult the doctor if you feel an aggravation of the condition or if your condition does not improve. If any of the side effects get aggravated, you must consult your doctor immediately. Do not consume more than the recommended dose, as this may have harmful effects on your body."
30,25 Tablet,Tablet,"To prevent weight gain you can eat a healthy balanced diet, avoid snacking with high calorie foods, and exercise regularly. It may cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. However, it is advised to take it at the same time each day as this helps to maintain a consistent level of medicine in the body. Take this medicine in the dose and duration as advised by your doctor as it has a high potential of habit-forming. It may also cause weight gain or weight loss as it can vary from person to person. It alters brain activity, calms it and provides relief from panic attacks by relaxing the nerves. If you have missed a dose, take it as soon as you remember it and finish the full course of treatment even if you feel better."
31, Gel,Gel,"Drink plenty of water and use moisturizer as it may lead to dryness of the mouth, lips, and eyes.  You should not apply it to damaged or broken skin and avoid contact with your mouth, eyes, and nose. The most common side effects include irritation, dryness, and redness of the skin. It is advised, not to have any waxing (hair removal), or laser treatments during treatment. A-Ret 0.1% Gel is a form of vitamin A that is used to treat acne which appears as spots or pimples on your face, chest or back. Ideally, a pinpoint application at nighttime is recommended for the duration prescribed by your doctor. It also helps to smooth rough facial skin and to reduce fine wrinkles on the skin."
32,Aldactone Tablet,Tablet,"The common side effects include nausea, vomiting, dizziness and swelling, or tenderness of your breasts (men and women). While using this medicine, you may be advised to limit your intake of salt or salt substitutes, and you should have your blood pressure checked frequently. Before taking it, tell your doctor if you have ever had kidney, liver or heart disease or are pregnant. If these bother you, or appear serious, let your doctor know. Some other tests like kidney function (e.g., creatinine) and potassium levels will be done to monitor your progress. Also let your healthcare team know about all other medications you are using as they may affect, or be affected by this medicine. If you stop taking it, your condition may get worse."
33,AF Kit Tablet,Tablet,"It may cause side effects like nausea, headache, vomiting, taste change, dizziness, indigestion, loss of appetite, and stomach pain. It may cause diarrhea, so it is better to take plenty of fluids while taking this medicine as it may help to prevent dehydration. In case you have missed any doses, take it as soon as you remember it. It works by stopping the growth of microorganisms and killing the existing ones that cause the infection. It is advisable to take AF Kit Tablet at a fixed time each day to maintain consistent levels of the medicine in the blood. Never skip any doses and finish a full course of treatment even if you feel better. AF Kit Tablet is a combination medicine used in syndromic management of vaginal discharge."
34,Azoran Tablet,Tablet,"Swallow it as a whole,  do not crush, chew, break, or open them. It is used with other medicines to prevent your body rejecting an organ (such as a kidney, heart or liver) after a transplant. Azoran Tablet works by weakening the body’s immune system, so it does not attack the new organ. If you stop taking it, you may increase the chances of rejecting your transplanted organ. To reduce your risk of skin cancer, limit your exposure to the sun and use a protective cream. The most common are loss of appetite, nausea and increased risk of bleeding. Your doctor also needs to know what other medicines you are taking as there are many which interact with this medicine and affect the way it works."
35,Augmentin DDS Suspension,Suspension,"It is used to treat infections of the lungs (e.g., pneumonia), ear, nasal sinus, urinary tract, skin and soft tissue. You should also let your healthcare team know about all other medicines you are taking as they may affect, or be affected by, this medicine. The most common side effects of this medicine include vomiting, nausea, and diarrhea. Before taking it, let your doctor know if you are allergic to any antibiotics or have any kidney or liver problems. The dose will depend on what you are being treated for, but you should always complete a full course of this antibiotic as prescribed by your doctor. If you stop taking it early, some bacteria may survive and the infection may come back or worsen. Do not stop taking it until you have finished, even when you feel better."
36,Atorva 40 Tablet,Tablet,"This medicine is only one part of the treatment program which should also include a healthy diet, regular exercise, smoking cessation, moderation of alcohol intake and weight reduction. Common side effects of this medicine include constipation, flatulence, dyspepsia, and abdominal pain. Diabetic patients should monitor their blood sugar levels while taking this medicine, as it may lead to an increase in blood sugar levels. Cholesterol is a fatty substance that builds up in your blood vessels and causes narrowing, which may lead to a heart attack or stroke. You can eat normally while taking this medicine, but try to avoid foods that are high in fat.  Also, pregnant women and breastfeeding mothers should not take this medicine as it may harm the developing baby. Atorva 40 Tablet is a widely prescribed medicine and is regarded as safe for long-term use when taken as per doctor's advice."
37,Amlokind 5 Tablet,Tablet,"The most common side effects include fatigue, swelling in the feet or ankles, sleepiness, dizziness, flushing, headache, and unusual beating of the heart (palpitations). You also need to tell your doctor what other medicines you are taking, especially those used to treat high blood pressure or heart conditions. Before taking it, let your doctor know if you have any liver, heart or kidney problems. Keeping yourself active with regular exercise, reducing your weight, and eating a healthy diet will also help control your blood pressure. It is used to treat high blood pressure (hypertension) and prevent angina (heart-related chest pain). You can take it at any time of the day, with or without food, but it is best to take it at the same time each day. Even if you feel well, do not stop this medicine on your own because high blood pressure often has no symptoms."
38,AB Phylline Capsule,Capsule,"The most common side effects of this medicine include nausea, headache, vomiting, and abdominal upset or discomfort. Before taking this medicine, let your doctor if you have kidney or liver disease or if you have heart-related problems. It does not work immediately or prevent the already started breathing trouble, hence always carry your medical inhaler with you for an emergency. If these bother you or appear serious, let your doctor know. It helps in relaxing the muscles of the air passages, thus widening it and making it easier to breathe. Your doctor should also know about all other medicines you are taking as many of these may make this medicine less effective or change the way it works. Generally, it is advised not to consume alcohol or do not smoke while on treatment."
39,Asthalin 100mcg Inhaler,Inhaler,"You can take it at any time of day, but only use it when you notice symptoms, such as coughing, wheezing, shortness of breath, tightness in the chest This medicine can make you feel dizzy or shaky, therefore, do not drive, use tools, or machinery until you feel better.  Inhaler is generally safe and effective but may cause some common side effects which include feeling a bit shaky, changes to your heart rate, headaches, and muscle cramps. There are other rare, side effects and you should call your doctor straight away if you get chest pain, a very bad headache, or very bad dizziness. In most cases, you will be given another inhaler to prevent your symptoms (a “preventer”) and you should use this regularly every day. It’s used to treat the symptoms of asthma and chronic obstructive pulmonary disease (COPD) such as coughing, wheezing and breathlessness. There are several types of inhaler devices so make sure you know how to use your inhaler correctly, otherwise it may not work."
40,Alfoo 10mg Tablet,Tablet,"Some common side effects of this medicine are upper respiratory tract infection, headache, and tiredness. Patients with liver or kidney disease must be cautious while receiving the prescription, and they must receive regular follow-ups as per the doctor’s advice. Try to urinate as soon as you feel the urge, however, never strain or push to empty your bladder. Before receiving the treatment, inform your doctor if you are on any medication for any other health condition. If you are pregnant or breastfeeding, tell your doctor prior to the treatment. It may also lead to blurry vision or dizziness, so it is advised to avoid driving while on the medication. If any of the side effects persist or bother you, you must consult the doctor without delay."
41,5mg Tablet,Tablet,"To prevent weight gain you can eat a healthy balanced diet, avoid snacking with high calorie foods, and exercise regularly. It may cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. However, it is advised to take it at the same time each day as this helps to maintain a consistent level of medicine in the body. Take this medicine in the dose and duration as advised by your doctor as it has a high potential of habit-forming. It may also cause weight gain or weight loss as it can vary from person to person. It alters brain activity, calms it and provides relief from panic attacks by relaxing the nerves. If you have missed a dose, take it as soon as you remember it and finish the full course of treatment even if you feel better."
42,Amoxyclav 625 Tablet,Tablet,"It is used to treat infections of the lungs (e.g., pneumonia), ear, nasal sinus, urinary tract, skin and soft tissue. You should also let your healthcare team know about all other medicines you are taking as they may affect, or be affected by, this medicine. The most common side effects of this medicine include vomiting, nausea, and diarrhea. Before taking it, let your doctor know if you are allergic to any antibiotics or have any kidney or liver problems. The dose will depend on what you are being treated for, but you should always complete a full course of this antibiotic as prescribed by your doctor. If you stop taking it early, some bacteria may survive and the infection may come back or worsen. Do not stop taking it until you have finished, even when you feel better."
43,Alex Junior Syrup,Syrup,"It relieves allergic symptoms like runny nose, watery eyes, sneezing, throat irritation. Before taking it, you should tell your doctor if you have liver diseases so that your doctor can prescribe a suitable dose for you. This medicine may also cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Let your doctor know about all other medications you are taking as some may affect, or be affected by this medicine. Pregnant or breastfeeding women should also consult their doctor before taking this medicine. You should keep taking this medicine for as long as your doctor recommends. The most common side effects are nausea, upset stomach, and rash."
44,Acitrom 2 Tablet,Tablet,"Let your doctor know immediately if you see pinpoint rash or blood in your vomits, urine, or stool. Tablet is an oral anticoagulant which helps to prevent formation of harmful blood clots in the legs, lungs, brain and heart. Also, let your doctor know if you are pregnant or breastfeeding and about all the other medications that you are taking regularly. Before taking it, you must inform the doctor if you are suffering from any kidney or liver disease. If you are going under any surgery or dental treatment then you may need to stop this medicine for some time but only after consulting with your doctor. You should take this medicine regularly to get the most benefit, even if you feel fine. It is used for deep vein thrombosis, pulmonary embolism and stroke prevention."
45,300 mg Tablet,Tablet,"Before taking this medicine, you should tell your doctor if you are pregnant, planning pregnancy or breastfeeding. The most common side effects are dryness in mouth, constipation, blurred vision, and increased heart rate. It may also cause dizziness and drowsiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. You should also tell your doctor if you have any kidney or liver diseases so that your doctor can prescribe a suitable dose for you. You should keep taking this medicine for as long as your doctor recommends. Avoid drinking alcohol while taking this medicine as it can worsen your dizziness."
46,Ascoril LS Junior Syrup,Syrup,"The most common side effects are nausea, diarrhea, stomach pain, vomiting, muscle cramp, headache, skin rash, and increased heart rate. Before taking this medicine, you should tell your doctor if you are pregnant, planning pregnancy or breastfeeding. It also provides relief from runny nose, sneezing, itching, and watery eyes. This medicine can also cause sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. It thins mucus in the nose, windpipe and lungs, making it easier to cough out. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. You should keep taking this medicine for as long as your doctor recommends."
47,Azithral 200 Liquid,Liquid,"Azithral 200 Liquid is an antibiotic used to treat various types of bacterial infections of the respiratory tract, ear, nose, throat, lungs, skin, and eye in adults and children. Commonly seen side effects seen with this medicine include vomiting, nausea, stomach pain, and diarrhea. Azithral 200 Liquid is a broad-spectrum type of antibiotic effective in killing many types of gram-positive bacteria, some types of gram-negative bacteria and other microorganisms. This medicine is taken orally, preferably either one hour before or 2 hours after a meal. Inform your doctor if you have any previous history of allergy or heart problems before taking this medicine. Consult your doctor if you find these side effects worry you or persist for a longer duration. Pregnant or breastfeeding women should consult their doctor before using this medicine."
48,Avomine Tablet,Tablet,"The most common side effects of this medicine include dry mouth, blur vision, headache, and feeling dizzy. Avomine Tablet used in the treatment of various allergic conditions like runny nose, sneezing, congestion, itching and watery eyes. Before taking this medicine, let your doctor know if you have glaucoma or have asthma issues or have high blood pressure. If these bother you or appear serious, let your doctor know. In case, you have missed any doses than it is better to take the next dose as soon as you remember it. Inform your doctor if you are pregnant, or breastfeeding. It also treats nausea, vomiting and insomnia (difficulty in sleeping) in adults and used as a sedative (sleep causing) in children (for 5 years and above).Avomine"
49,Asthalin Syrup,Syrup,"There are other, rarer, side effects and you should call your doctor straight away if you get chest pain, a very bad headache or very bad dizziness. This medicine can make you feel dizzy or shaky so avoid driving, cycling or using tools or machinery until you feel better. Also, make sure your doctor knows if you are pregnant or breastfeeding before taking this medicine. Asthalin Syrup is used to relieve symptoms of asthma and chronic obstructive pulmonary disease (COPD) such as coughing, wheezing and breathlessness. Asthalin Syrup is generally safe and effective but some common side effects include tremor, headache. It helps in relaxing the muscles of the air passages, thus widening it and making it easier to breathe. fast heart rate, and muscle cramps."
50,Acnovate Gel,Gel,"Side effects like minor itching, burning, or redness of the skin and oily skin may be seen in some people. Inform your doctor if you have any problems with your bowels (intestines), or if you are using any other medicines to treat skin conditions. This helps to prevent pimples, blackheads, and whiteheads on the skin. It may take several weeks for your symptoms to improve, but you should keep using this medicine regularly. You should normally wash and dry the affected area before applying a thin layer of the medicine. Avoid any contact with your eyes, nose or mouth. Consult your doctor about using this medicine if you are pregnant or breastfeeding."
51,Atarax Syrup,Syrup,"The most common side effects of this medicine include sedation, nausea, vomiting, stomach upset and constipation.   Before taking this medicine, let your doctor know if you have heart problems or have high blood pressure, have liver or kidney problems. Atarax Syrup is an antihistamine used to treat symptoms of skin allergy like itching, swelling, and rashes. If these bother you or appear serious, let your doctor know. Atarax Syrup should be taken with or without food, but take it at the same time every day to get the most benefit.   In case, you have missed any doses than it is better to take the next dose as soon as you remember it. Inform your doctor if you are pregnant, or breastfeeding."
